id,age.cat,gender,area,veh.make,veh.body,veh.age,claim,num.claims,tot.cost
168258,5,F,C,D,SEDAN,4,0,0,0
2838876,1,M,B,D,UTE,4,0,0,0
9442376,6,M,B,B,SEDAN,1,0,0,0
4545506,4,M,E,D,SEDAN,1,0,0,0
4548824,3,F,B,C,STNWG,1,0,0,0
423000,2,F,A,D,SEDAN,1,0,0,0
9325731,4,F,D,D,STNWG,4,0,0,0
4740236,5,M,D,D,TRUCK,4,0,0,0
8602700,5,M,D,C,STNWG,2,0,0,0
977358,6,F,C,D,SEDAN,2,0,0,0
3580631,2,F,C,D,HBACK,2,0,0,0
4723174,3,F,C,D,STNWG,2,0,0,0
8297747,5,M,F,D,STNWG,4,0,0,0
665176,5,F,C,A,SEDAN,4,0,0,0
2146878,4,M,A,B,HBACK,1,0,0,0
4065419,6,F,C,B,HBACK,4,0,0,0
8094675,3,F,D,B,HBACK,3,0,0,0
1434006,4,F,F,D,HDTOP,2,0,0,0
4956850,2,M,F,D,SEDAN,2,0,0,0
6402849,2,M,D,D,SEDAN,1,0,0,0
4368263,2,M,A,D,SEDAN,4,0,0,0
4481815,3,F,C,D,MIBUS,4,0,0,0
2477847,5,M,B,D,SEDAN,3,0,0,0
145885,3,F,D,D,STNWG,2,0,0,0
5942634,1,F,A,D,PANVN,1,0,0,0
2431139,3,M,E,D,STNWG,2,0,0,0
3868320,5,F,C,B,SEDAN,3,0,0,0
1515889,4,F,D,D,SEDAN,4,0,0,0
243128,4,F,E,D,SEDAN,1,0,0,0
1129174,1,M,A,D,SEDAN,2,0,0,0
5375944,6,M,B,D,UTE,3,0,0,0
9446198,3,F,A,D,STNWG,3,0,0,0
8074590,5,F,A,D,HBACK,4,0,0,0
5872538,3,M,C,D,SEDAN,4,0,0,0
7401660,6,F,A,D,SEDAN,4,0,0,0
1401594,3,M,A,B,STNWG,2,0,0,0
9605453,3,M,B,D,HBACK,1,0,0,0
7177734,6,F,C,D,SEDAN,2,0,0,0
8440012,3,M,B,D,SEDAN,1,0,0,0
5180309,1,M,B,B,SEDAN,4,0,0,0
5078222,2,F,B,D,UTE,2,0,0,0
7613622,6,M,A,C,SEDAN,1,0,0,0
8399739,5,F,C,D,COUPE,3,0,0,0
5306079,4,M,D,D,UTE,3,1,1,703.2099991
2024169,2,M,A,D,HDTOP,3,0,0,0
909428,4,F,A,D,HBACK,3,0,0,0
8331959,4,F ,C,D,SEDAN,1,0,0,0
6152451,3,F,A,D,HBACK,3,0,0,0
6732483,6,F,D,D,SEDAN,2,0,0,0
7470224,5,F,D,C,STNWG,4,0,0,0
8859340,3,M ,B,D,SEDAN,4,0,0,0
7545845,4,M,C,D,STNWG,2,0,0,0
511329,4,M,A,D,SEDAN,2,0,0,0
7841268,5,F ,D,D,STNWG,4,0,0,0
5753382,4,F,C,D,SEDAN,2,0,0,0
1402348,1,F,E,C,STNWG,4,0,0,0
4372149,3,M,A,D,HBACK,4,0,0,0
5522974,1,F,C,B,HBACK,1,0,0,0
6834841,3,F,B,B,HBACK,2,0,0,0
6873947,6,F,D,D,STNWG,4,0,0,0
8752813,2,M,A,D,STNWG,1,0,0,0
5319572,3,F,E,B,HBACK,1,0,0,0
7471303,6,F,C,A,SEDAN,4,0,0,0
1777334,4,M,F,D,UTE,4,0,0,0
3664202,1,F,B,B,HBACK,2,0,0,0
2859128,2,F,B,D,SEDAN,1,0,0,0
4516768,2,F,A,D,HBACK,2,0,0,0
8168040,2,F,E,B,STNWG,2,0,0,0
1089535,2,F,C,D,SEDAN,3,0,0,0
4282715,2,F,D,D,SEDAN,3,0,0,0
103193,1,M,E,D,UTE,4,0,0,0
4177432,6,F,A,D,SEDAN,1,0,0,0
7354514,6,F,A,B,HBACK,1,0,0,0
2605115,4,M,A,C,HBACK,4,0,0,0
9200140,3,M,E,D,SEDAN,1,0,0,0
8097329,5,M,E,D,STNWG,4,0,0,0
4346078,3,M,E,D,STNWG,3,0,0,0
5182395,2,M,A,D,STNWG,3,0,0,0
9334912,5,F,C,D,SEDAN,2,0,0,0
1880484,5,M,C,D,SEDAN,4,0,0,0
7459209,3,F,A,B,HBACK,1,0,0,0
6800315,6,M,D,B,HBACK,2,0,0,0
8276560,1,F,B,C,SEDAN,2,0,0,0
3880532,4,F,A,C,STNWG,4,0,0,0
1800752,5,M,C,C,SEDAN,4,1,1,2717.349991
3481601,4,F,A,C,COUPE,4,0,0,0
7617946,2,F,C,B,HBACK,1,0,0,0
9518173,5,F,F,D,UTE,3,0,0,0
2272573,3,M,A,B,HBACK,3,0,0,0
9845853,5,M,C,C,STNWG,1,0,0,0
9869860,3,M,C,D,STNWG,4,0,0,0
3267208,3,F,A,D,SEDAN,4,0,0,0
2667397,4,F,C,D,STNWG,2,0,0,0
1333541,2,M,C,C,SEDAN,2,0,0,0
2521677,3,M,A,D,TRUCK,4,0,0,0
3278289,3,F,C,D,HBACK,2,0,0,0
5693666,5,M,D,D,SEDAN,4,0,0,0
9131948,4,F,A,B,SEDAN,3,0,0,0
3087258,6,M,D,C,STNWG,3,0,0,0
106196,1,F,E,D,HBACK,2,0,0,0
4627229,3,M,C,D,SEDAN,4,0,0,0
1953992,1,F,C,B,HBACK,3,0,0,0
6303525,2,F,C,B,HBACK,3,0,0,0
8050545,5,M,C,D,HBACK,2,0,0,0
1801287,5,M,B,B,SEDAN,2,0,0,0
4801638,2,F,A,D,SEDAN,2,0,0,0
8551754,2,F,F,D,STNWG,2,0,0,0
4275847,3,F,D,D,SEDAN,4,0,0,0
6133238,3,F,E,D,STNWG,3,0,0,0
4611455,2,F,C,D,MIBUS,4,0,0,0
4270272,2,M,B,D,STNWG,4,0,0,0
2420737,3,F,C,C,SEDAN,3,0,0,0
266611,2,F,C,D,SEDAN,2,0,0,0
528964,5,F,E,B,HBACK,1,0,0,0
7122661,1,F,B,D,HBACK,4,0,0,0
9722791,4,M,E,C,TRUCK,3,0,0,0
6939057,6,F,C,D,SEDAN,3,0,0,0
2643674,5,M,A,B,HBACK,1,0,0,0
8922579,3,M,A,B,HBACK,2,0,0,0
4226119,2,M,C,D,HDTOP,4,0,0,0
9976209,5,M,B,B,HBACK,4,0,0,0
7471825,2,F,C,C,SEDAN,3,0,0,0
4968320,3,F,B,B,HBACK,1,0,0,0
7949647,2,F,B,C,HDTOP,4,0,0,0
3301288,3,F,C,D,STNWG,2,0,0,0
6062979,4,F,A,D,SEDAN,3,0,0,0
1643451,4,F,B,D,STNWG,4,0,0,0
3335420,3,F,C,D,STNWG,1,0,0,0
4295150,6,M,E,B,HBACK,3,0,0,0
5326021,5,M,B,D,UTE,4,0,0,0
