veh.make,veh.body,veh.age,veh.value
A,BUS,1,5
A,BUS,2,4
A,CONVT,1,7.85
A,CONVT,2,6.96
A,CONVT,3,4.61
A,CONVT,4,3.45
A,COUPE,1,4.9
A,COUPE,2,4.34
A,COUPE,3,5.91
A,COUPE,4,3.5
A,HBACK,1,2.87
A,HBACK,2,1.95
A,HBACK,3,1.39
A,MCARA,1,12.4
A,MCARA,2,6.1
A,MCARA,3,2.99
A,PANVN,1,2.16
A,PANVN,2,1.79
A,PANVN,3,1.5
A,SEDAN,1,4.71
A,SEDAN,2,3.03
A,SEDAN,3,1.71
A,SEDAN,4,0.86
A,STNWG,1,5.499
A,STNWG,2,4.54
A,STNWG,3,2.27
A,STNWG,4,1.75
A,TRUCK,1,4
A,TRUCK,2,3.26
B,COUPE,1,2.57
B,COUPE,2,1.8
B,COUPE,3,0.82
B,COUPE,4,0.4
B,HBACK,1,1.17
B,HBACK,2,0.93
B,HBACK,3,0.49
B,HBACK,4,0.18
B,PANVN,1,1.2
B,PANVN,2,0.8
B,PANVN,3,0.5
B,PANVN,4,0.23
B,SEDAN,1,2.1
B,SEDAN,2,1.07
B,SEDAN,3,0.74
B,SEDAN,4,0.28
B,STNWG,1,1.7
B,STNWG,2,1.36
B,STNWG,3,0.88
C,BUS,1,5
C,BUS,2,2.5
C,BUS,3,1
C,BUS,4,0.2
C,CONVT,1,6.71
C,CONVT,2,5
C,COUPE,1,5.09
C,COUPE,2,2.63
C,COUPE,3,1.29
C,COUPE,4,0.35
C,HBACK,1,1.79
C,HBACK,2,1.4
C,HBACK,3,0.62
C,HBACK,4,0.29
C,HDTOP,1,2.5
C,HDTOP,2,2
C,HDTOP,3,1.55
C,HDTOP,4,1.01
C,MCARA,1,2
C,MCARA,2,1.5
C,MCARA,3,1
C,MCARA,4,0
C,MIBUS,1,4
C,MIBUS,2,2
C,MIBUS,3,1
C,MIBUS,4,0.39
C,PANVN,1,4
C,PANVN,2,2
C,PANVN,3,1
C,PANVN,4,0.29
C,RDSTR,1,6.26
C,SEDAN,1,1.72
C,SEDAN,2,1.32
C,SEDAN,3,0.88
C,SEDAN,4,0.28
C,STNWG,1,2.74
C,STNWG,2,2.51
C,STNWG,3,1.09
C,STNWG,4,0
C,TRUCK,1,1.7
C,TRUCK,2,1.11
C,TRUCK,3,0.79
C,TRUCK,4,0.2
C,UTE,1,2.08
C,UTE,2,1.46
C,UTE,3,0.96
C,UTE,4,0.22
D,BUS,1,3.65
D,BUS,2,2.59
D,BUS,3,0
D,BUS,4,0
D,CONVT,1,4
D,CONVT,2,2.01
D,CONVT,3,1.64
D,CONVT,4,0.7
D,COUPE,3,1.11
D,COUPE,4,0.42
D,HBACK,1,1.32
D,HBACK,2,1.26
D,HBACK,3,0.72
D,HBACK,4,0.29
D,HDTOP,1,2.37
D,HDTOP,2,1.95
D,HDTOP,3,1.3
D,HDTOP,4,0.68
D,MCARA,1,4.82
D,MCARA,2,3.4
D,MCARA,3,1.47
D,MCARA,4,0
D,MIBUS,1,3
D,MIBUS,2,2.22
D,MIBUS,3,1.02
D,MIBUS,4,0
D,PANVN,1,1.83
D,PANVN,2,1.49
D,PANVN,3,0.82
D,PANVN,4,0.25
D,RDSTR,1,3.67
D,RDSTR,2,2.97
D,SEDAN,1,1.5
D,SEDAN,2,1.32
D,SEDAN,2,1.32
D,SEDAN,3,0.44
D,SEDAN,4,0.24
D,SEDAN,4,0.24
D,STNWG,1,1.9
D,STNWG,2,1.48
D,STNWG,3,0.89
D,STNWG,4,0.27
D,TRUCK,1,1.5
D,TRUCK,2,0
D,TRUCK,3,0
D,TRUCK,4,0
D,UTE,1,1.75
D,UTE,2,1.14
D,UTE,3,0.83
D,UTE,4,0.37
